Date,Open,High,Low,Close,Volume,Change,Company Name
02-Jan-2025,57.00,58.50,57.00,58.00,2561,-0.50,ATIL - Atlas Insurance Ltd
01-Jan-2025,59.00,59.00,58.01,58.50,2353,0.55,ATIL - Atlas Insurance Ltd
09-Dec-2024,58.00,59.99,57.90,59.86,6943,1.86,ATIL - Atlas Insurance Ltd
06-Dec-2024,58.00,58.98,58.00,58.00,3000,-0.92,ATIL - Atlas Insurance Ltd
05-Dec-2024,56.81,59.00,56.81,58.92,12710,0.92,ATIL - Atlas Insurance Ltd
