Date,Open,High,Low,Close,Volume,Change,Company Name
02-Jan-2025,12.60,13.60,12.45,13.38,13463,0.93,ASTM - Asim Textile Mills Ltd
01-Jan-2025,12.50,12.50,12.45,12.45,180990,0.45,ASTM - Asim Textile Mills Ltd
09-Dec-2024,14.74,14.80,13.50,14.17,4050,0.67,ASTM - Asim Textile Mills Ltd
06-Dec-2024,13.13,13.50,13.11,13.50,3811,-0.08,ASTM - Asim Textile Mills Ltd
05-Dec-2024,13.99,13.99,13.20,13.58,811,0.27,ASTM - Asim Textile Mills Ltd
