Date,Open,High,Low,Close,Volume,Change,Company Name
02-Jan-2025,7.55,7.69,7.42,7.48,7667,090,0.07,KOSM - Kohinoor Spinning Mills Ltd
01-Jan-2025,7.40,7.70,7.28,7.41,9855,081,0.03,KOSM - Kohinoor Spinning Mills Ltd
09-Dec-2024,8.55,8.56,8.17,8.26,14888,308,-0.23,KOSM - Kohinoor Spinning Mills Ltd
06-Dec-2024,8.20,8.65,7.96,8.49,21189,424,0.37,KOSM - Kohinoor Spinning Mills Ltd
05-Dec-2024,8.28,8.53,8.07,8.12,14837,836,-0.11,KOSM - Kohinoor Spinning Mills Ltd
