Date,Open,High,Low,Close,Volume,Change,Company Name
09-Jan-2024,2120,2137,2096,2105.4,18595,-11.01,Maari Petrolium Limited
08-Jan-2024,2148.99,2163.2,2105,2116.41,32292,-10.98,Maari Petrolium Limited
05-Jan-2024,2119.99,2163,2090,2127.39,83318,13.99,Maari Petrolium Limited
04-Jan-2024,2103.01,2128.44,2085,2113.4,13890,15.53,Maari Petrolium Limited
03-Jan-2024,2099.99,2138,2071,2097.87,58585,-2.32,Maari Petrolium Limited
02-Jan-2024,2160,2160,2080,2100.19,35404,-47.11,Maari Petrolium Limited
01-Jan-2024,2103.99,2157,2098,2147.3,39544,51.2,Maari Petrolium Limited
