Date,Open,High,Low,Close,Volume,Change,Company Name
02-Jan-2025,26.49,27.58,26.22,27.42,1930,612,0.98,GATM - Gul Ahmed Textile Mills Ltd
01-Jan-2025,25.05,26.60,25.05,26.44,2341,457,1.13,GATM - Gul Ahmed Textile Mills Ltd
09-Dec-2024,24.76,26.48,24.01,26.08,4961,387,1.39,GATM - Gul Ahmed Textile Mills Ltd
06-Dec-2024,25.00,25.30,24.50,24.69,2173,678,-0.26,GATM - Gul Ahmed Textile Mills Ltd
05-Dec-2024,23.26,25.30,23.18,24.95,7513,104,1.52,GATM - Gul Ahmed Textile Mills Ltd
